season,week,team,rating,rank
2019,3,Michigan,1708.8,14
2019,3,Texas,1701.0,15
2019,3,UCF,1699.6,16
2019,3,Iowa,1691.3,17
2019,3,TCU,1687.3,18
2019,3,Washington,1684.8,19
2019,3,Oregon,1683.4,20
2019,3,Utah,1683.2,21
2019,3,Arizona State,1679.8,22
2019,3,Virginia,1678.1,23
2019,3,Wake Forest,1673.1,24
2019,3,Texas A&M,1669.3,25
2019,3,SMU,1669.1,26
2019,3,Kansas State,1666.4,27
2019,3,Memphis,1666.0,28
2019,3,Nebraska,1665.3,29
2019,3,Baylor,1660.7,30
2019,3,Maryland,1654.0,31
2019,3,Michigan State,1652.3,32
2019,3,San Diego State,1650.3,33
2019,3,Washington State,1649.4,34
2019,3,Boise State,1648.6,35
2019,3,Ole Miss,1645.8,36
2019,3,Mississippi State,1645.0,37
2019,3,North Carolina,1641.8,38
2019,3,Illinois,1641.1,39
2019,3,Minnesota,1636.6,40
2019,3,California,1631.7,41
2019,3,Missouri,1628.7,42
2019,3,Kentucky,1628.0,43
2019,3,Duke,1626.6,44
2019,3,Miami,1625.2,45
2019,3,Virginia Tech,1620.0,46
2019,3,Cincinnati,1619.9,47
2019,3,Arkansas,1619.5,48
2019,3,Florida State,1618.1,49
2019,3,Louisville,1611.0,50
2019,3,Colorado,1609.4,51
2019,3,West Virginia,1607.7,52
2019,3,Stanford,1601.8,53
2019,3,Arizona,1601.4,54
2019,3,Kansas,1601.3,55
2019,3,Wyoming,1600.3,56
2019,3,Northwestern,1594.6,57
2019,3,NC State,1593.4,58
2019,3,Louisiana Tech,1591.0,59
2019,3,Temple,1588.5,60
2019,3,BYU,1587.6,61
2019,3,Tennessee,1585.1,62
2019,3,UAB,1581.7,63
2019,3,Western Michigan,1581.1,64
2019,3,Tulane,1580.0,65
2019,3,Iowa State,1579.0,66
2019,3,Texas Tech,1574.1,67
2019,3,South Carolina,1574.0,68
2019,3,Indiana,1574.0,69
2019,3,Rutgers,1573.0,70
2019,3,App State,1570.6,71
2019,3,Army,1562.5,72
2019,3,Navy,1559.0,73
2019,3,Southern Miss,1557.1,74
2019,3,Pittsburgh,1554.8,75
2019,3,Arkansas State,1548.2,76
2019,3,Marshall,1547.7,77
2019,3,Purdue,1544.5,78
2019,3,Hawai'i,1542.8,79
2019,3,Eastern Michigan,1542.6,80
2019,3,Georgia Tech,1542.0,81
2019,3,Boston College,1541.2,82
2019,3,Houston,1535.4,83
2019,3,Central Michigan,1533.8,84
2019,3,Syracuse,1527.7,85
2019,3,Louisiana,1525.4,86
2019,3,Utah State,1524.9,87
2019,3,Nevada,1524.7,88
2019,3,Florida Atlantic,1524.0,89
2019,3,Toledo,1522.2,90
2019,3,Oregon State,1522.2,91
2019,3,Charlotte,1517.8,92
2019,3,Tulsa,1515.1,93
2019,3,Fresno State,1508.0,94
2019,3,UL Monroe,1504.0,95
2019,3,Vanderbilt,1503.9,96
2019,3,New Mexico,1503.2,97
2019,3,Georgia State,1502.6,98
2019,3,Coastal Carolina,1502.0,99
2019,3,Air Force,1499.7,100
2019,3,South Florida,1499.4,101
